wv_nm,T_293,T_283,T_273,T_263,T_253,T_243,T_233,T_223,T_213,T_203,T_193,T_228
285.05,67.191627,66.402112,66.167544,66.590143,66.50218,65.528938,66.33002,65.075135,65.415689,64.333771,65.250523,65.5852644515036
285.06,67.085641,66.307424,66.084154,66.481736,66.389738,65.426987,66.235601,64.973722,65.303247,64.219446,65.152069,65.4812907993776
285.07,66.980193,66.213543,65.997805,66.372253,66.274875,65.322884,66.140375,64.872578,65.189191,64.107542,65.051194,65.3759969130439
285.08,66.875552,66.1202,65.908228,66.261694,66.15786,65.21636,66.044611,64.771434,65.073521,63.998597,64.947898,65.2693874227198
285.09,66.771987,66.027664,65.815961,66.151135,66.038693,65.107415,65.948309,64.670828,64.957044,63.89288,64.842719,65.1618290260701
285.1,66.670036,65.935935,65.720197,66.040307,65.918181,64.996856,65.8512,64.570222,64.839222,63.790391,64.735657,65.0532378399674
285.11,66.56943,65.844475,65.621743,65.930017,65.796324,64.884414,65.753284,64.469885,64.720862,63.69113,64.62725,64.9439200441541
285.12,66.470976,65.753553,65.519792,65.820265,65.67366,64.770358,65.65483,64.369817,64.602233,63.595635,64.517229,64.8339968933352
285.13,66.374943,65.663169,65.415151,65.712127,65.54992,64.654957,65.5553,64.269749,64.483066,63.503637,64.40667,64.7234346994461
285.14,66.280793,65.572785,65.307551,65.605065,65.42618,64.538749,65.455232,64.16995,64.364437,63.415136,64.295304,64.612784751714
285.15,66.189064,65.48267,65.196992,65.499886,65.30244,64.421734,65.354357,64.070151,64.246077,63.330132,64.183938,64.5019607694155
285.16,66.099756,65.392824,65.084281,65.396859,65.178969,64.30445,65.252944,63.970352,64.128793,63.248087,64.072572,64.3912980450769
285.17,66.0126,65.303247,64.969687,65.295715,65.056036,64.187166,65.150993,63.870553,64.012585,63.16927,63.961475,64.2809330708658
285.18,65.927865,65.213401,64.852941,65.197261,64.934179,64.070151,65.048773,63.770485,63.89826,63.093143,63.851454,64.1711453498918
285.19,65.844744,65.123824,64.73485,65.101228,64.813398,63.953674,64.946284,63.670417,63.785818,63.019437,63.741971,64.0620916971001
285.2,65.763775,65.034516,64.615952,65.007616,64.694231,63.838273,64.844064,63.57008,63.676066,62.948152,63.634102,63.9541177981439
285.21,65.684151,64.945208,64.496516,64.916694,64.576678,63.724486,64.741844,63.469743,63.569004,62.878481,63.527847,63.8473884588122
285.22,65.605872,64.8559,64.376811,64.828193,64.461008,63.612044,64.6407,63.368868,63.464901,62.810424,63.422937,63.742021151954
285.23,65.528669,64.76713,64.257913,64.742382,64.347759,63.501754,64.540094,63.267993,63.364564,62.743712,63.320448,63.6384704321074
285.24,65.452004,64.678629,64.139822,64.658723,64.236662,63.393616,64.441102,63.167118,63.267993,62.678076,63.219573,63.5368533672731
285.25,65.376146,64.590935,64.023614,64.577216,64.128255,63.288168,64.343455,63.065705,63.175726,62.612978,63.121388,63.4372854925433
285.26,65.300288,64.503779,63.909289,64.497861,64.022269,63.18541,64.247691,62.964561,63.087494,62.548149,63.025355,63.3399850874901
285.27,65.22443,64.41743,63.797654,64.420389,63.919242,63.085611,64.154079,62.863417,63.003835,62.483589,62.931743,63.2451833428702
285.28,65.148572,64.332426,63.689247,64.3448,63.818905,62.98904,64.063157,62.762811,62.92448,62.419029,62.840552,63.1530396841827
285.29,65.072445,64.248498,63.584606,64.270287,63.721796,62.895697,63.975194,62.662474,62.849967,62.354469,62.752051,63.0636965256319
285.3,64.99578,64.165915,63.484269,64.197388,63.627377,62.805851,63.89019,62.562675,62.779758,62.289371,62.665971,62.9771546722269
285.31,64.918577,64.085215,63.388505,64.125296,63.536455,62.719502,63.808683,62.463952,62.714122,62.224004,62.582581,62.8937145349535
285.32,64.840836,64.006667,63.297852,64.05428,63.448223,62.63665,63.730673,62.366574,62.65279,62.158368,62.501881,62.813315377029
285.33,64.762826,63.929733,63.21231,63.983802,63.363219,62.557564,63.656429,62.27081,62.595224,62.092194,62.423871,62.736003683033
285.34,64.684547,63.855489,63.132686,63.914131,63.281443,62.481975,63.585951,62.17666,62.541693,62.025751,62.348282,62.6618476445829
285.35,64.606268,63.783397,63.05898,63.844729,63.202626,62.409883,63.519508,62.084931,62.491928,61.959308,62.275383,62.5909015452127
285.36,64.528258,63.713995,62.991192,63.776134,63.127037,62.341557,63.4571,61.995892,62.444853,61.892596,62.205174,62.5231518663554
285.37,64.450517,63.647283,62.929591,63.707539,63.054676,62.276728,63.398458,61.909812,62.401006,61.826153,62.137386,62.458584722101
285.38,64.373314,63.583261,62.874177,63.639482,62.985005,62.215127,63.343582,61.827229,62.359311,61.760248,62.072288,62.3970707955278
285.39,64.297456,63.522467,62.824681,63.571963,62.918562,62.157023,63.292472,61.748412,62.319768,61.694612,62.00988,62.3386501237585
285.4,64.222674,63.464363,62.781103,63.504982,62.854809,62.101878,63.244859,61.673899,62.281839,61.629783,61.949893,62.2831888907601
285.41,64.150044,63.409218,62.743174,63.438539,62.794015,62.049961,63.200474,61.60369,62.245255,61.56603,61.892596,62.2305790268096
285.42,64.079297,63.357032,62.710625,63.372634,62.735642,62.001003,63.159048,61.538592,62.209478,61.503353,61.837989,62.1807138359647
285.43,64.010971,63.307536,62.683187,63.307805,62.680228,61.955004,63.120312,61.478336,62.174239,61.44229,61.785803,62.1335790987851
285.44,63.945604,63.261268,62.660053,63.244052,62.627235,61.911426,63.083997,61.42346,62.139269,61.38311,61.736307,62.0889083544522
285.45,63.883196,63.217421,62.641223,63.181644,62.576663,61.870538,63.049834,61.374233,62.104299,61.325544,61.689501,62.04673074272
285.46,63.824016,63.176264,62.626159,63.120581,62.528243,61.832071,63.017285,61.330655,62.06906,61.270399,61.645116,62.0068164957025
285.47,63.768602,63.137797,62.613785,63.061132,62.481975,61.796025,62.986081,61.292457,62.033552,61.217406,61.603152,61.9689519535107
285.48,63.716685,63.101482,62.603832,63.003566,62.43759,61.761862,62.955953,61.260177,61.997506,61.167103,61.563609,61.933105715748
285.49,63.668534,63.067319,62.596031,62.947883,62.395088,61.729582,62.926363,61.233277,61.960922,61.119221,61.526487,61.8990141790311
285.5,63.624418,63.035308,62.589037,62.894352,62.3542,61.699185,62.897311,61.211757,61.9238,61.074029,61.491517,61.8665743637483
285.51,63.583799,63.00518,62.583119,62.842973,62.314926,61.670402,62.86799,61.195617,61.88614,61.031527,61.458968,61.8356745494264
285.52,63.546677,62.976397,62.576932,62.794015,62.276728,61.643233,62.8384,61.18405,61.847942,60.991984,61.428302,61.8060636718364
