wv_nm,T_227
291.03,33.0334421
291.04,32.98859711
291.05,32.944151585
291.06,32.90023599
291.07,32.85670372
291.08,32.81370138
291.09,32.771090435
291.1,32.72872428
291.11,32.686879985
291.12,32.64528048
291.13,32.6035263
291.14,32.56201691
291.15,32.520613775
291.16,32.478786965
291.17,32.43679741
291.18,32.39437611
291.19,32.351523065
291.2,32.30811588
291.21,32.26373895
291.22,32.218938345
291.23,32.173176065
291.24,32.126321645
291.25,32.07878262
291.26,32.03002099
291.27,31.980313825
291.28,31.929661125
291.29,31.87780196
291.3,31.825135795
291.31,31.771540235
291.32,31.716884815
291.33,31.6613
291.34,31.60506286
291.35,31.54804293
291.36,31.49024021
291.37,31.431793235
291.38,31.37283247
291.39,31.31322745
291.4,31.253247175
291.41,31.192891645
291.42,31.132022325
291.43,31.070908215
291.44,31.00940271
291.45,30.94778288
291.46,30.88591019
291.47,30.823638035
291.48,30.761504415
291.49,30.69923226
291.5,30.63682157
291.51,30.574533275
291.52,30.512367375
291.53,30.450177265
291.54,30.38837048
291.55,30.326808485
291.56,30.26575221
291.57,30.20534019
291.58,30.14543389
291.59,30.086432775
291.6,30.028075915
291.61,29.971031775
291.62,29.915031355
291.63,29.86022126
291.64,29.80686242
291.65,29.754962905
291.66,29.70466125
291.67,29.655957455
291.68,29.608998125
291.69,29.56379133
291.7,29.520329
291.71,29.478619205
291.72,29.43880855
291.73,29.40049757
291.74,29.363947195
291.75,29.328904565
291.76,29.29536968
291.77,29.263204005
291.78,29.232277075
291.79,29.202466495
291.8,29.173487125
291.81,29.14548557
291.82,29.11818476
291.83,29.09145423
291.84,29.06501691
291.85,29.039003265
291.86,29.01301383
291.87,28.987171
291.88,28.96134431
291.89,28.935395225
291.9,28.909307605
291.91,28.88282052
291.92,28.856325365
291.93,28.829414605
291.94,28.80235724
291.95,28.775006665
291.96,28.747232415
291.97,28.71929542
291.98,28.691065215
291.99,28.66252566
292,28.633684825
292.01,28.604673175
292.02,28.575352175
292.03,28.545729895
292.04,28.51592873
292.05,28.48568775
292.06,28.45513742
292.07,28.42428581
292.08,28.393002455
292.09,28.361279285
292.1,28.329262905
292.11,28.29655385
292.12,28.263551585
292.13,28.22972618
292.14,28.195623705
292.15,28.16097516
292.16,28.12565008
292.17,28.090194535
292.18,28.05420099
292.19,28.01781605
292.2,27.98117825
292.21,27.94455659
292.22,27.90795107
292.23,27.87136976
292.24,27.835220195
292.25,27.799494305
292.26,27.764338695
292.27,27.730014295
292.28,27.696529175
292.29,27.6642828
292.3,27.63327517
292.31,27.603506285
292.32,27.57537561
292.33,27.548883145
292.34,27.523890355
292.35,27.5007134495
292.36,27.4792319165
292.37,27.4594327095
292.38,27.4412033865
292.39,27.4246824825
292.4,27.409579881
292.41,27.395895582
292.42,27.3834388645
292.43,27.372170589
292.44,27.3616229645
292.45,27.351856247
292.46,27.3425150875
292.47,27.333521207
292.48,27.324532303
292.49,27.315569492
292.5,27.30613889
292.51,27.2963137995
292.52,27.285725825
292.53,27.2744352225
292.54,27.262251271
292.55,27.2489832495
292.56,27.234440437
292.57,27.2188738105
292.58,27.2019932535
292.59,27.183911208
292.6,27.164489139
292.61,27.1438916745
292.62,27.122131861
292.63,27.0990972565
292.64,27.074952489
292.65,27.049736698
292.66,27.023627558
292.67,26.996651162
292.68,26.968721161
292.69,26.9399891365
292.7,26.9106458095
292.71,26.880552645
292.72,26.8498612245
292.73,26.818597641
292.74,26.7867358015
292.75,26.7544272875
292.76,26.721507471
292.77,26.688088794
292.78,26.6542836985
292.79,26.619775975
292.8,26.5848166005
292.81,26.549214854
292.82,26.513070131
292.83,26.4762178035
292.84,26.4387442205
292.85,26.4004717075
292.86,26.3615387995
292.87,26.321906357
292.88,26.2814774055
292.89,26.240280459
292.9,26.1983147105
292.91,26.1555923995
292.92,26.1121265725
292.93,26.0679148085
292.94,26.0229823935
